City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,klaksvik,62.2266,-6.589,9.51,89,42,11.36,FO,1698333157
1,waitangi,-43.9535,-176.5597,14.34,90,95,3.58,NZ,1698333157
2,puerto san jose,13.9256,-90.8244,27.16,80,100,0.88,GT,1698333158
3,grytviken,-54.2811,-36.5092,2.24,97,100,6.94,GS,1698333158
4,aripuana,-9.1667,-60.6333,34.52,42,99,0.98,BR,1698332986
5,kirensk,57.7853,108.1119,1.65,96,100,4.92,RU,1698333158
6,weno,7.4515,151.8468,28.82,73,79,3.77,FM,1698333158
7,port mathurin,-19.6833,63.4167,24.7,79,32,6.7,MU,1698333159
8,tolanaro,-25.0319,46.9987,21.93,66,23,3.75,MG,1698333159
9,la passe,45.5549,-0.8967,14.45,91,100,8.06,FR,1698333159
10,margate,51.3813,1.3862,15.5,75,14,0.89,GB,1698333159
11,mount pearl,47.5166,-52.7813,13.31,94,100,3.6,CA,1698333159
12,colonia,50.9333,6.95,13.4,81,100,3.6,DE,1698333160
13,bethel,41.3712,-73.414,22.79,60,0,0.0,US,1698333160
14,hekimhan,38.818,37.9312,19.29,50,100,2.49,TR,1698333160
15,veraval,20.9,70.3667,28.19,60,7,2.58,IN,1698333160
16,afaahiti,-17.75,-149.2833,23.93,81,95,2.53,PF,1698333161
17,qaqortoq,60.7167,-46.0333,1.59,47,86,2.71,GL,1698333161
18,blackmans bay,-43.0167,147.3167,7.07,79,99,0.45,AU,1698333161
19,port augusta,-32.5,137.7667,11.12,60,0,3.18,AU,1698333161
20,port-aux-francais,-49.35,70.2167,1.76,81,100,11.69,TF,1698333161
21,puerto natales,-51.7236,-72.4875,7.25,49,40,10.29,CL,1698333161
22,yaren,-0.5472,166.916,28.69,72,35,3.43,NR,1698333162
23,adamstown,-25.066,-130.1015,22.16,81,73,6.58,PN,1698333162
24,hamilton,39.1834,-84.5333,20.7,73,20,5.14,US,1698332988
25,kashgar,39.4547,75.9797,14.67,30,98,1.09,CN,1698333162
26,puerto ayora,-0.7393,-90.3518,27.98,90,87,5.36,EC,1698333162
27,ushuaia,-54.8,-68.3,4.79,81,75,13.89,AR,1698333162
28,pasuquin,18.3328,120.6177,26.59,85,89,3.01,PH,1698333163
29,lihue,21.9789,-159.3672,22.58,80,0,3.6,US,1698333163
30,thompson,55.7435,-97.8558,-2.91,80,100,2.57,CA,1698333163
31,dabai,11.4765,5.2063,33.71,23,100,1.72,NG,1698333163
32,assab,13.0092,42.7394,28.08,75,100,8.56,ER,1698333163
33,touros,-5.1989,-35.4608,29.63,59,69,6.1,BR,1698332978
34,georgetown,5.4112,100.3354,27.23,94,40,4.12,MY,1698332878
35,altkirch,47.5833,7.1667,14.21,91,100,3.72,FR,1698333164
36,bilibino,68.0546,166.4372,-12.91,97,100,0.83,RU,1698333164
37,ust-nera,64.5667,143.2,-17.97,91,99,1.17,RU,1698333164
38,bredasdorp,-34.5322,20.0403,21.38,58,1,6.63,ZA,1698333164
39,iqaluit,63.7506,-68.5145,-3.15,79,75,5.66,CA,1698333165
40,ribeira grande,38.5167,-28.7,19.22,59,20,4.63,PT,1698333165
41,st. john's,47.5649,-52.7093,13.77,94,100,2.68,CA,1698333009
42,stanley,54.868,-1.6985,10.95,94,75,4.12,GB,1698333061
43,albany,42.6001,-73.9662,20.3,54,76,0.47,US,1698333165
44,port lincoln,-34.7333,135.8667,11.94,73,14,6.81,AU,1698332953
45,arraial do cabo,-22.9661,-42.0278,24.92,73,40,3.09,BR,1698332996
46,carutapera,-1.195,-46.02,30.48,58,99,3.8,BR,1698333166
47,edinburgh of the seven seas,-37.0676,-12.3116,12.03,59,93,2.77,SH,1698333166
48,raduzhny,62.0961,77.475,-4.66,92,100,7.46,RU,1698333166
49,rio grande,-32.035,-52.0986,23.06,60,13,3.73,BR,1698333167
50,whitehorse,60.7161,-135.0538,-8.57,85,0,2.06,CA,1698333167
51,naraina,26.7833,75.2,26.37,29,0,3.06,IN,1698333167
52,puerto francisco de orellana,-0.4667,-76.9667,30.03,74,75,2.06,EC,1698333167
53,novo cruzeiro,-17.4681,-41.8753,32.75,35,58,0.47,BR,1698333167
54,namsos,64.4662,11.4957,4.03,69,0,4.12,NO,1698333167
55,hirara,24.8,125.2833,25.1,70,72,5.49,JP,1698333168
56,haiku-pauwela,20.9219,-156.3051,23.36,77,0,2.57,US,1698333168
57,ruteng,-8.6136,120.4721,17.61,71,3,0.59,ID,1698333168
58,ocos,14.5094,-92.1933,29.1,83,100,2.81,GT,1698333168
59,pimentel,-6.8367,-79.9342,22.16,68,0,6.17,PE,1698333168
60,ebaye,8.7748,167.7392,28.01,83,40,5.14,MH,1698333168
61,blagoveshchensk,50.2667,127.5333,0.83,46,0,2.95,RU,1698333169
62,saudarkrokur,65.7461,-19.6394,2.39,76,22,0.87,IS,1698333169
63,newman,37.3138,-121.0208,11.13,81,2,1.79,US,1698333169
64,luau,-10.7073,22.2247,28.42,45,94,0.52,AO,1698333169
65,hawaiian paradise park,19.5933,-154.9731,23.35,98,100,2.06,US,1698333169
66,port elizabeth,-33.918,25.5701,26.16,61,0,2.57,ZA,1698333169
